Fecha,Carga (h),Inicio de irradiación (h),Exit treatment zone (h),Fin de proceso (h),Fecha fin,Dosis de proceso (kGy),# de Fraccionamiento,Tipo de tratamiento,No. de lados,1. Retardo de brotes,2. Desinfeccion,3. Fitosanitario (150 Gy),3. Fitosanitario (400 Gy),4. Vegetales,5. Chiles secos,6. Alimentos mascotas,7. Otros,8. Cosmeticos,9. Esterilizacion,Desecho fitosanitario,Pallets tratados mal/Reprocesados,Pruebas,Tiempo de paro programado,Registro
03/08/2027,7:21:00 a.m.,7:38:00 a.m.,8:43:32 a.m.,8:51:32 a.m.,03/08/2027,0.22,3,MODE_B,2,0,0,8,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
04/08/2027,8:38:00 a.m.,8:44:00 a.m.,10:05:48 a.m.,10:16:48 a.m.,04/08/2027,0.9,2,MODE_A,1,0,0,0,0,0,13,0,0,0,0,0,0,0,00:00:00,Operador_02
05/08/2027,9:55:00 a.m.,10:02:00 a.m.,10:55:36 a.m.,11:06:36 a.m.,05/08/2027,0.3,3,MODE_B,1,0,0,7,0,0,0,0,0,0,0,0,0,0,00:05:00,Operador_01
06/08/2027,7:12:00 a.m.,7:25:00 a.m.,8:22:18 a.m.,8:34:18 a.m.,06/08/2027,0.9,1,MODE_B,1,0,6,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
07/08/2027,8:29:00 a.m.,8:40:00 a.m.,9:50:30 a.m.,10:04:30 a.m.,07/08/2027,2.0,2,MODE_B,1,0,0,0,0,0,0,9,0,0,0,0,0,0,00:00:00,Operador_02
08/08/2027,9:46:00 a.m.,9:58:00 a.m.,11:00:27 a.m.,11:06:27 a.m.,08/08/2027,0.28,1,MODE_A,2,0,0,7,0,0,0,0,0,0,0,0,0,0,00:05:00,Operador_03
09/08/2027,7:03:00 a.m.,7:11:00 a.m.,8:39:14 a.m.,8:47:14 a.m.,09/08/2027,0.32,2,MODE_A,1,0,0,14,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
10/08/2027,8:20:00 a.m.,8:32:00 a.m.,10:05:00 a.m.,10:18:00 a.m.,10/08/2027,2.0,1,MODE_B,1,0,0,0,0,0,12,0,0,0,0,0,0,0,00:00:00,Operador_04
11/08/2027,9:37:00 a.m.,9:44:00 a.m.,10:53:27 a.m.,11:04:27 a.m.,11/08/2027,0.28,1,MODE_B,2,0,0,11,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
12/08/2027,7:54:00 a.m.,8:03:00 a.m.,9:07:14 a.m.,9:21:14 a.m.,12/08/2027,0.32,1,MODE_B,2,0,0,8,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
13/08/2027,8:11:00 a.m.,8:19:00 a.m.,9:23:03 a.m.,9:33:03 a.m.,13/08/2027,0.65,3,MODE_B,1,0,0,0,7,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
14/08/2027,9:28:00 a.m.,9:44:00 a.m.,10:51:30 a.m.,10:58:30 a.m.,14/08/2027,2.5,1,MODE_B,2,0,0,0,0,0,4,0,0,0,0,0,0,0,00:00:00,Operador_04
15/08/2027,7:45:00 a.m.,8:02:00 a.m.,9:19:44 a.m.,9:26:44 a.m.,15/08/2027,0.32,1,MODE_B,1,0,0,11,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
16/08/2027,8:02:00 a.m.,8:15:00 a.m.,9:35:24 a.m.,9:41:24 a.m.,16/08/2027,1.2,3,MODE_B,2,0,0,0,0,0,14,0,0,0,0,0,0,0,00:00:00,Operador_01
17/08/2027,9:19:00 a.m.,9:33:00 a.m.,10:46:54 a.m.,11:00:54 a.m.,17/08/2027,0.7,1,MODE_B,2,0,0,0,10,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
18/08/2027,7:36:00 a.m.,7:43:00 a.m.,9:04:48 a.m.,9:15:48 a.m.,18/08/2027,0.9,1,MODE_B,2,0,0,0,0,0,0,0,13,0,0,0,0,0,00:00:00,Operador_02
19/08/2027,8:53:00 a.m.,9:06:00 a.m.,10:13:44 a.m.,10:26:44 a.m.,19/08/2027,0.32,2,MODE_A,1,0,0,11,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
20/08/2027,9:10:00 a.m.,9:20:00 a.m.,9:59:57 a.m.,10:11:57 a.m.,20/08/2027,0.28,3,MODE_B,2,0,0,4,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
21/08/2027,7:27:00 a.m.,7:33:00 a.m.,8:50:06 a.m.,9:03:06 a.m.,21/08/2027,0.3,1,MODE_A,2,0,0,12,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
22/08/2027,8:44:00 a.m.,8:58:00 a.m.,10:04:00 a.m.,10:10:00 a.m.,22/08/2027,2.5,1,MODE_B,2,0,0,0,0,5,0,0,0,0,0,0,0,0,00:00:00,Operador_03
23/08/2027,9:01:00 a.m.,9:13:00 a.m.,10:15:02 a.m.,10:27:02 a.m.,23/08/2027,0.22,1,MODE_B,2,0,0,7,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
24/08/2027,7:18:00 a.m.,7:25:00 a.m.,8:56:30 a.m.,9:10:30 a.m.,24/08/2027,3.0,1,MODE_B,2,0,0,0,0,0,0,11,0,0,0,0,0,0,00:00:00,Operador_04
25/08/2027,8:35:00 a.m.,8:46:00 a.m.,9:33:24 a.m.,9:46:24 a.m.,25/08/2027,1.2,3,MODE_B,2,0,0,0,0,0,0,4,0,0,0,0,0,0,00:00:00,Operador_04
26/08/2027,9:52:00 a.m.,9:58:00 a.m.,11:28:18 a.m.,11:39:18 a.m.,26/08/2027,0.9,1,MODE_B,2,0,0,0,0,14,0,0,0,0,0,0,0,0,00:00:00,Operador_02
27/08/2027,7:09:00 a.m.,7:16:00 a.m.,9:03:30 a.m.,9:16:30 a.m.,27/08/2027,4.0,2,MODE_A,1,0,13,0,0,0,0,0,0,0,0,0,0,0,00:05:00,Operador_04
28/08/2027,8:26:00 a.m.,8:40:00 a.m.,9:30:36 a.m.,9:41:36 a.m.,28/08/2027,0.3,1,MODE_B,2,0,0,5,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
29/08/2027,9:43:00 a.m.,9:55:00 a.m.,11:15:32 a.m.,11:27:32 a.m.,29/08/2027,0.22,1,MODE_B,2,0,0,12,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
30/08/2027,7:00:00 a.m.,7:08:00 a.m.,8:14:30 a.m.,8:20:30 a.m.,30/08/2027,2.5,3,MODE_B,2,0,6,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
31/08/2027,8:17:00 a.m.,8:28:00 a.m.,9:52:30 a.m.,10:00:30 a.m.,31/08/2027,4.0,1,MODE_B,2,0,0,0,0,0,9,0,0,0,0,0,0,0,00:00:00,Operador_05
01/08/2027,2:34:00 p.m.,2:41:00 p.m.,3:59:00 p.m.,4:09:00 p.m.,01/08/2027,4.0,2,MODE_B,2,0,0,0,0,0,6,0,0,0,0,0,0,0,00:00:00,Operador_01
02/08/2027,12:51:00 p.m.,1:04:00 p.m.,1:52:02 p.m.,2:05:02 p.m.,02/08/2027,0.22,3,MODE_B,2,0,0,5,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
03/08/2027,1:08:00 p.m.,1:17:00 p.m.,2:40:36 p.m.,2:46:36 p.m.,03/08/2027,0.3,1,MODE_B,1,0,0,13,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
04/08/2027,2:25:00 p.m.,2:37:00 p.m.,3:34:33 p.m.,3:45:33 p.m.,04/08/2027,0.65,1,MODE_B,2,0,0,0,6,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
05/08/2027,12:42:00 p.m.,12:52:00 p.m.,1:54:54 p.m.,2:04:54 p.m.,05/08/2027,0.7,1,MODE_B,2,0,0,0,6,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
06/08/2027,1:59:00 p.m.,2:07:00 p.m.,3:27:12 p.m.,3:37:12 p.m.,06/08/2027,0.6,2,MODE_A,2,0,0,0,14,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
07/08/2027,2:16:00 p.m.,2:25:00 p.m.,3:43:02 p.m.,3:52:02 p.m.,07/08/2027,0.22,2,MODE_B,1,0,0,13,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
08/08/2027,12:33:00 p.m.,12:43:00 p.m.,2:10:30 p.m.,2:22:30 p.m.,08/08/2027,2.5,1,MODE_A,1,12,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
09/08/2027,1:50:00 p.m.,2:05:00 p.m.,3:07:57 p.m.,3:15:57 p.m.,09/08/2027,0.35,3,MODE_B,2,0,0,9,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
10/08/2027,2:07:00 p.m.,2:22:00 p.m.,3:37:30 p.m.,3:47:30 p.m.,10/08/2027,2.5,1,MODE_B,2,0,0,0,0,8,0,0,0,0,0,0,0,0,00:00:00,Operador_01
11/08/2027,12:24:00 p.m.,12:41:00 p.m.,2:23:00 p.m.,2:30:00 p.m.,11/08/2027,3.0,1,MODE_A,2,0,0,0,0,0,0,0,0,0,0,14,0,0,00:00:00,Operador_02
12/08/2027,1:41:00 p.m.,1:58:00 p.m.,2:51:00 p.m.,2:59:00 p.m.,12/08/2027,2.0,1,MODE_B,2,0,0,0,0,0,4,0,0,0,0,0,0,0,00:05:00,Operador_01
13/08/2027,2:58:00 p.m.,3:11:00 p.m.,4:06:57 p.m.,4:16:57 p.m.,13/08/2027,0.28,1,MODE_A,2,0,0,6,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
14/08/2027,12:15:00 p.m.,12:30:00 p.m.,2:00:00 p.m.,2:11:00 p.m.,14/08/2027,1.5,1,MODE_B,2,0,0,0,0,13,0,0,0,0,0,0,0,0,00:00:00,Operador_01
15/08/2027,1:32:00 p.m.,1:47:00 p.m.,3:10:57 p.m.,3:23:57 p.m.,15/08/2027,0.28,2,MODE_B,2,0,0,14,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
16/08/2027,2:49:00 p.m.,3:05:00 p.m.,4:27:30 p.m.,4:37:30 p.m.,16/08/2027,2.5,1,MODE_B,2,0,0,0,0,0,0,10,0,0,0,0,0,0,00:00:00,Operador_01
17/08/2027,12:06:00 p.m.,12:14:00 p.m.,1:18:30 p.m.,1:24:30 p.m.,17/08/2027,1.5,1,MODE_B,2,0,0,0,0,8,0,0,0,0,0,0,0,0,00:00:00,Operador_03
18/08/2027,1:23:00 p.m.,1:31:00 p.m.,2:33:03 p.m.,2:43:03 p.m.,18/08/2027,0.65,1,MODE_B,2,0,0,0,7,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
19/08/2027,2:40:00 p.m.,2:54:00 p.m.,4:12:27 p.m.,4:26:27 p.m.,19/08/2027,0.35,2,MODE_B,2,0,0,14,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
20/08/2027,12:57:00 p.m.,1:14:00 p.m.,2:21:00 p.m.,2:30:00 p.m.,20/08/2027,2.5,2,MODE_B,2,0,0,0,0,0,5,0,0,0,0,0,0,0,00:00:00,Operador_05
21/08/2027,1:14:00 p.m.,1:21:00 p.m.,2:47:30 p.m.,2:53:30 p.m.,21/08/2027,1.5,2,MODE_B,2,0,0,0,0,0,14,0,0,0,0,0,0,0,00:00:00,Operador_05
22/08/2027,2:31:00 p.m.,2:37:00 p.m.,4:01:45 p.m.,4:12:45 p.m.,22/08/2027,0.25,1,MODE_B,1,0,0,14,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
23/08/2027,12:48:00 p.m.,12:58:00 p.m.,2:09:18 p.m.,2:15:18 p.m.,23/08/2027,0.9,2,MODE_B,2,0,0,0,0,0,0,0,8,0,0,0,0,0,00:00:00,Operador_04
24/08/2027,1:05:00 p.m.,1:15:00 p.m.,2:49:30 p.m.,2:58:30 p.m.,24/08/2027,3.0,1,MODE_B,1,0,0,0,0,0,11,0,0,0,0,0,0,0,00:00:00,Operador_01
25/08/2027,2:22:00 p.m.,2:36:00 p.m.,3:48:00 p.m.,3:54:00 p.m.,25/08/2027,2.0,1,MODE_B,1,0,0,0,0,0,0,8,0,0,0,0,0,0,00:00:00,Operador_04
26/08/2027,12:39:00 p.m.,12:54:00 p.m.,2:09:36 p.m.,2:23:36 p.m.,26/08/2027,0.3,1,MODE_B,1,0,0,11,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
27/08/2027,1:56:00 p.m.,2:03:00 p.m.,3:12:45 p.m.,3:21:45 p.m.,27/08/2027,0.25,3,MODE_B,1,0,0,10,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
28/08/2027,2:13:00 p.m.,2:20:00 p.m.,3:42:06 p.m.,3:49:06 p.m.,28/08/2027,0.3,2,MODE_B,2,0,0,14,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
29/08/2027,12:30:00 p.m.,12:37:00 p.m.,1:34:27 p.m.,1:43:27 p.m.,29/08/2027,0.28,3,MODE_B,2,0,0,9,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
30/08/2027,1:47:00 p.m.,1:58:00 p.m.,2:43:27 p.m.,2:56:27 p.m.,30/08/2027,0.35,3,MODE_B,2,0,0,4,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
31/08/2027,2:04:00 p.m.,2:13:00 p.m.,3:15:15 p.m.,3:29:15 p.m.,31/08/2027,0.25,3,MODE_B,2,0,0,7,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
01/08/2027,5:21:00 p.m.,5:30:00 p.m.,6:53:00 p.m.,7:00:00 p.m.,01/08/2027,3.0,1,MODE_B,2,0,0,0,0,10,0,0,0,0,0,0,0,0,00:00:00,Operador_01
02/08/2027,6:38:00 p.m.,6:49:00 p.m.,7:49:54 p.m.,7:59:54 p.m.,02/08/2027,0.7,2,MODE_B,2,0,0,0,6,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
03/08/2027,7:55:00 p.m.,8:03:00 p.m.,9:30:00 p.m.,9:38:00 p.m.,03/08/2027,2.0,1,MODE_B,2,0,0,0,0,0,0,12,0,0,0,0,0,0,00:00:00,Operador_01
04/08/2027,5:12:00 p.m.,5:29:00 p.m.,6:55:51 p.m.,7:01:51 p.m.,04/08/2027,0.55,1,MODE_A,2,0,0,0,14,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
05/08/2027,6:29:00 p.m.,6:35:00 p.m.,7:14:14 p.m.,7:27:14 p.m.,05/08/2027,0.32,1,MODE_B,2,0,0,4,0,0,0,0,0,0,0,0,0,0,00:05:00,Operador_01
06/08/2027,7:46:00 p.m.,7:56:00 p.m.,9:00:30 p.m.,9:09:30 p.m.,06/08/2027,1.5,1,MODE_B,1,0,0,0,0,0,8,0,0,0,0,0,1,0,00:00:00,Operador_03
07/08/2027,5:03:00 p.m.,5:09:00 p.m.,6:29:54 p.m.,6:38:54 p.m.,07/08/2027,1.2,1,MODE_B,2,13,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
08/08/2027,6:20:00 p.m.,6:31:00 p.m.,7:28:45 p.m.,7:40:45 p.m.,08/08/2027,0.25,1,MODE_A,2,0,0,6,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
09/08/2027,7:37:00 p.m.,7:45:00 p.m.,9:27:00 p.m.,9:38:00 p.m.,09/08/2027,4.0,1,MODE_B,2,0,14,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
10/08/2027,5:54:00 p.m.,6:01:00 p.m.,7:29:18 p.m.,7:40:18 p.m.,10/08/2027,0.9,1,MODE_B,1,14,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
11/08/2027,6:11:00 p.m.,6:23:00 p.m.,7:38:24 p.m.,7:48:24 p.m.,11/08/2027,1.2,1,MODE_A,2,0,0,0,0,0,0,10,0,0,0,0,0,0,00:00:00,Operador_01
12/08/2027,7:28:00 p.m.,7:41:00 p.m.,8:39:57 p.m.,8:53:57 p.m.,12/08/2027,0.28,3,MODE_A,2,0,0,6,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
13/08/2027,5:45:00 p.m.,5:57:00 p.m.,7:01:00 p.m.,7:12:00 p.m.,13/08/2027,1.5,1,MODE_B,2,0,0,0,0,0,7,0,0,0,0,0,0,0,00:05:00,Operador_02
14/08/2027,6:02:00 p.m.,6:16:00 p.m.,7:20:32 p.m.,7:32:32 p.m.,14/08/2027,0.22,1,MODE_B,2,0,0,8,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
15/08/2027,7:19:00 p.m.,7:33:00 p.m.,8:56:24 p.m.,9:02:24 p.m.,15/08/2027,0.7,1,MODE_B,2,0,0,0,13,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
16/08/2027,5:36:00 p.m.,5:49:00 p.m.,7:34:00 p.m.,7:41:00 p.m.,16/08/2027,4.0,1,MODE_B,2,14,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
17/08/2027,6:53:00 p.m.,7:04:00 p.m.,8:27:30 p.m.,8:34:30 p.m.,17/08/2027,3.0,1,MODE_B,2,0,0,0,0,9,0,0,0,0,0,0,0,0,00:00:00,Operador_02
18/08/2027,7:10:00 p.m.,7:26:00 p.m.,8:23:24 p.m.,8:31:24 p.m.,18/08/2027,1.2,2,MODE_A,2,4,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
19/08/2027,5:27:00 p.m.,5:36:00 p.m.,6:59:00 p.m.,7:11:00 p.m.,19/08/2027,3.0,1,MODE_B,2,0,0,0,0,8,0,0,0,0,0,0,0,0,00:00:00,Operador_05
20/08/2027,6:44:00 p.m.,6:54:00 p.m.,7:59:00 p.m.,8:05:00 p.m.,20/08/2027,2.0,2,MODE_B,2,4,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
21/08/2027,7:01:00 p.m.,7:15:00 p.m.,8:20:15 p.m.,8:34:15 p.m.,21/08/2027,0.25,1,MODE_B,1,0,0,11,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
22/08/2027,5:18:00 p.m.,5:28:00 p.m.,6:44:57 p.m.,6:54:57 p.m.,22/08/2027,0.35,2,MODE_B,2,0,0,13,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
23/08/2027,6:35:00 p.m.,6:49:00 p.m.,8:10:54 p.m.,8:23:54 p.m.,23/08/2027,0.7,1,MODE_A,2,0,0,0,12,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
24/08/2027,7:52:00 p.m.,8:02:00 p.m.,9:36:30 p.m.,9:48:30 p.m.,24/08/2027,4.0,1,MODE_A,2,0,0,0,0,0,9,0,0,0,0,0,0,0,00:00:00,Operador_04
25/08/2027,5:09:00 p.m.,5:15:00 p.m.,6:22:00 p.m.,6:33:00 p.m.,25/08/2027,1.5,1,MODE_B,2,0,0,0,0,7,0,0,0,0,0,0,0,0,00:00:00,Operador_05
26/08/2027,6:26:00 p.m.,6:33:00 p.m.,7:26:02 p.m.,7:38:02 p.m.,26/08/2027,0.22,1,MODE_B,2,0,0,7,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
27/08/2027,7:43:00 p.m.,7:53:00 p.m.,8:43:06 p.m.,8:53:06 p.m.,27/08/2027,0.3,1,MODE_A,2,0,0,6,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
