Fecha de Proceso,Operador,Estatus,P. Run,TIN,Folio TIN,Folio Logistica,Folio calidad,Cliente,Codigo cliente,Producto,Configuracion (Fito) prod,No de configuracion,Tipo de servicio,Dosis de proceso solicitada (kGy),Numero de tarima de TIN,Carrier,Etiqueta sistema,Etiqueta interna,Tarimas por TIN,Tratamiento,Dosis proceso,N° Lados,N° pases,kGy por pase,Factor K,Corriente (A),Velocidad UBC,Inicio carga conveyor,Fin descarga conveyor,Tiempo proceso,Desviaciones,Registro
17-ago-27,Operador_02,Completado,10003,TIN_000002,20002,40002,50002,Cliente_001,CLI001,Producto_010,Configuracion_003,30003,Fitosanitario 400 Gy,0.65,4,1,SYS_000019,TAG_000019,7,MODE_B - Config demo,0.65,2,1,0.65,0.025,8.0,0.308,11:19:00 a.m.,11:55:00 a.m.,00:36:00,,Operador_05
17-ago-27,Operador_01,Completado,10003,TIN_000002,20002,40002,50002,Cliente_001,CLI001,Producto_010,Configuracion_003,30003,Fitosanitario 400 Gy,0.65,5,2,SYS_000020,TAG_000020,7,MODE_B - Config demo,0.65,2,1,0.65,0.025,8.0,0.308,11:19:00 a.m.,11:55:00 a.m.,00:36:00,,Operador_03
17-ago-27,Operador_03,Completado,10004,TIN_000002,20002,40002,50002,Cliente_001,CLI001,Producto_010,Configuracion_003,30003,Fitosanitario 400 Gy,0.65,6,1,SYS_000021,TAG_000021,7,MODE_B - Config demo,0.325,2,2,0.325,0.025,8.0,0.615,6:19:00 p.m.,7:05:00 p.m.,00:46:00,,Operador_01
17-ago-27,Operador_01,Completado,10004,TIN_000002,20002,40002,50002,Cliente_001,CLI001,Producto_010,Configuracion_003,30003,Fitosanitario 400 Gy,0.65,7,2,SYS_000022,TAG_000022,7,MODE_B - Config demo,0.325,2,2,0.325,0.025,8.0,0.615,6:19:00 p.m.,7:05:00 p.m.,00:46:00,,Operador_03
09-ago-27,Operador_05,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,1,1,SYS_000023,TAG_000023,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_02
09-ago-27,Operador_03,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,2,2,SYS_000024,TAG_000024,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_01
09-ago-27,Operador_03,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,3,3,SYS_000025,TAG_000025,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_02
09-ago-27,Operador_03,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,4,4,SYS_000026,TAG_000026,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_02
09-ago-27,Operador_02,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,5,5,SYS_000027,TAG_000027,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_05
09-ago-27,Operador_03,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,6,6,SYS_000028,TAG_000028,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_01
09-ago-27,Operador_04,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,7,7,SYS_000029,TAG_000029,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_02
09-ago-27,Operador_01,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,8,8,SYS_000030,TAG_000030,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_04
09-ago-27,Operador_02,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,9,9,SYS_000031,TAG_000031,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_01
09-ago-27,Operador_01,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,10,10,SYS_000032,TAG_000032,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_04
09-ago-27,Operador_02,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,11,11,SYS_000033,TAG_000033,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_02
09-ago-27,Operador_03,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,12,12,SYS_000034,TAG_000034,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_02
09-ago-27,Operador_01,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,13,1,SYS_000035,TAG_000035,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_01
09-ago-27,Operador_01,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,14,2,SYS_000036,TAG_000036,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_05
09-ago-27,Operador_05,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,15,3,SYS_000037,TAG_000037,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_04
09-ago-27,Operador_03,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,16,4,SYS_000038,TAG_000038,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_05
09-ago-27,Operador_05,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,17,5,SYS_000039,TAG_000039,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_03
09-ago-27,Operador_04,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,18,6,SYS_000040,TAG_000040,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_01
09-ago-27,Operador_01,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,19,7,SYS_000041,TAG_000041,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_05
09-ago-27,Operador_03,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,20,8,SYS_000042,TAG_000042,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_05
09-ago-27,Operador_03,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,21,9,SYS_000043,TAG_000043,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_01
09-ago-27,Operador_01,Completado,10005,TIN_000003,20003,40003,50003,Cliente_011,CLI011,Producto_005,Configuracion_004,30004,Desbacterizacion (Chiles secos),3.0,22,10,SYS_000044,TAG_000044,22,MODE_A - Config demo,3.0,2,1,3.0,2.5,2.4,2.0,7:24:00 a.m.,9:10:00 a.m.,01:46:00,Desviacion_demo_10005,Operador_03
17-ago-27,Operador_01,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,1,1,SYS_000045,TAG_000045,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_01
17-ago-27,Operador_04,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,2,2,SYS_000046,TAG_000046,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_04
17-ago-27,Operador_02,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,3,3,SYS_000047,TAG_000047,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_04
17-ago-27,Operador_01,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,4,4,SYS_000048,TAG_000048,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_03
17-ago-27,Operador_05,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,5,5,SYS_000049,TAG_000049,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_02
17-ago-27,Operador_04,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,6,6,SYS_000050,TAG_000050,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_02
17-ago-27,Operador_02,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,7,7,SYS_000051,TAG_000051,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_02
17-ago-27,Operador_02,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,8,8,SYS_000052,TAG_000052,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_01
17-ago-27,Operador_05,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,9,9,SYS_000053,TAG_000053,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_03
17-ago-27,Operador_05,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,10,10,SYS_000054,TAG_000054,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_04
17-ago-27,Operador_05,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,11,11,SYS_000055,TAG_000055,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_02
17-ago-27,Operador_01,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,12,12,SYS_000056,TAG_000056,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_05
17-ago-27,Operador_05,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,13,1,SYS_000057,TAG_000057,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_05
17-ago-27,Operador_05,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,14,2,SYS_000058,TAG_000058,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_02
17-ago-27,Operador_03,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,15,3,SYS_000059,TAG_000059,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_04
17-ago-27,Operador_05,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,16,4,SYS_000060,TAG_000060,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_01
17-ago-27,Operador_05,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,17,5,SYS_000061,TAG_000061,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_04
17-ago-27,Operador_03,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,18,6,SYS_000062,TAG_000062,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_04
17-ago-27,Operador_02,Completado,10006,TIN_000004,20004,40004,50004,Cliente_016,CLI016,Producto_005,Configuracion_005,30005,Fitosanitario 150 Gy,0.22,19,7,SYS_000063,TAG_000063,19,MODE_B - Config demo,0.11,2,2,0.11,0.025,8.0,1.818,1:31:00 p.m.,2:58:00 p.m.,01:27:00,,Operador_02
18-ago-27,Operador_02,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,1,1,SYS_000064,TAG_000064,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_01
18-ago-27,Operador_04,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,2,2,SYS_000065,TAG_000065,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_01
18-ago-27,Operador_03,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,3,3,SYS_000066,TAG_000066,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_02
18-ago-27,Operador_01,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,4,4,SYS_000067,TAG_000067,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_04
18-ago-27,Operador_04,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,5,5,SYS_000068,TAG_000068,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_02
18-ago-27,Operador_01,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,6,6,SYS_000069,TAG_000069,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_05
18-ago-27,Operador_03,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,7,7,SYS_000070,TAG_000070,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_05
18-ago-27,Operador_03,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,8,8,SYS_000071,TAG_000071,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_04
18-ago-27,Operador_05,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,9,9,SYS_000072,TAG_000072,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_04
18-ago-27,Operador_05,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,10,10,SYS_000073,TAG_000073,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_01
18-ago-27,Operador_04,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,11,11,SYS_000074,TAG_000074,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_04
18-ago-27,Operador_05,Completado,10007,TIN_000005,20005,40005,50005,Cliente_006,CLI006,Producto_006,Configuracion_006,30006,Fitosanitario 150 Gy,0.25,12,12,SYS_000075,TAG_000075,17,MODE_A - Config demo,0.125,2,2,0.125,2.5,2.4,48.0,9:26:00 a.m.,10:56:00 a.m.,01:30:00,,Operador_04
