Fecha,Hora de Paro,Fecha Reinicio,Hora Reinicio,Interruption ID,Interlock,Motivo del paro,Registro,Observaciones
11/08/2027,7:19:12 p.m.,11/08/2027,7:21:50 p.m.,70036,INTERLOCK_C,,Operador_04,
08/08/2027,9:55:01 p.m.,08/08/2027,10:02:56 p.m.,70037,Process -OFF -Button,Verificación de seguridad,Operador_02,Observacion_demo_037
09/08/2027,6:48:16 a.m.,09/08/2027,6:51:50 a.m.,70038,INTERLOCK_D,,Operador_04,
30/08/2027,1:00:35 p.m.,30/08/2027,1:07:08 p.m.,70039,INTERLOCK_E,,Operador_04,
24/08/2027,6:07:21 a.m.,24/08/2027,6:11:13 a.m.,70040,INTERLOCK_A,,Operador_04,
17/08/2027,9:35:32 a.m.,17/08/2027,9:40:54 a.m.,70041,Process -OFF -Button,Reinicio manual,Operador_04,
28/08/2027,11:05:55 p.m.,28/08/2027,11:13:11 p.m.,70042,INTERLOCK_A,,Operador_05,
27/08/2027,7:52:29 a.m.,27/08/2027,7:56:31 a.m.,70043,INTERLOCK_B,,Operador_03,
20/08/2027,7:30:41 p.m.,20/08/2027,7:34:51 p.m.,70044,Process -OFF -Button,Material desalineado,Operador_05,
10/08/2027,8:14:23 p.m.,10/08/2027,8:25:19 p.m.,70045,INTERLOCK_C,,Operador_05,
08/08/2027,6:18:07 p.m.,08/08/2027,6:19:43 p.m.,70046,INTERLOCK_A,,Operador_03,
19/08/2027,3:28:32 p.m.,19/08/2027,3:36:04 p.m.,70047,Process -OFF -Button,Inspección programada,Operador_02,
13/08/2027,6:52:25 a.m.,13/08/2027,6:55:17 a.m.,70048,INTERLOCK_C,,Operador_03,
06/08/2027,8:47:02 a.m.,06/08/2027,8:47:32 a.m.,70049,INTERLOCK_A,,Operador_01,
27/08/2027,5:37:42 a.m.,27/08/2027,5:39:40 a.m.,70050,INTERLOCK_C,,Operador_01,Observacion_demo_050
13/08/2027,10:48:51 a.m.,13/08/2027,11:00:30 a.m.,70051,Process -OFF -Button,Verificación de seguridad,Operador_01,
13/08/2027,2:52:19 p.m.,13/08/2027,3:02:36 p.m.,70052,INTERLOCK_E,,Operador_05,Observacion_demo_052
30/08/2027,3:18:42 a.m.,30/08/2027,3:25:44 a.m.,70053,Process -OFF -Button,Reinicio manual,Operador_02,
21/08/2027,10:51:43 a.m.,21/08/2027,10:53:23 a.m.,70054,INTERLOCK_C,,Operador_01,
14/08/2027,12:09:14 p.m.,14/08/2027,12:15:51 p.m.,70055,INTERLOCK_A,,Operador_04,
21/08/2027,12:01:47 a.m.,21/08/2027,12:13:21 a.m.,70056,INTERLOCK_E,,Operador_01,
03/08/2027,4:24:05 p.m.,03/08/2027,4:32:41 p.m.,70057,INTERLOCK_E,,Operador_02,
15/08/2027,4:16:04 a.m.,15/08/2027,4:21:15 a.m.,70058,Process -OFF -Button,Inspección programada,Operador_04,
11/08/2027,6:53:56 p.m.,11/08/2027,7:02:00 p.m.,70059,INTERLOCK_C,,Operador_05,
13/08/2027,7:43:01 a.m.,13/08/2027,7:46:04 a.m.,70060,INTERLOCK_C,,Operador_04,
07/08/2027,9:25:57 p.m.,07/08/2027,9:29:22 p.m.,70061,INTERLOCK_D,,Operador_01,Observacion_demo_061
11/08/2027,3:41:04 a.m.,11/08/2027,3:44:56 a.m.,70062,Process -OFF -Button,Material desalineado,Operador_02,Observacion_demo_062
01/08/2027,2:05:01 a.m.,01/08/2027,2:10:20 a.m.,70063,INTERLOCK_C,,Operador_02,Observacion_demo_063
21/08/2027,5:55:17 p.m.,21/08/2027,6:04:57 p.m.,70064,Process -OFF -Button,Ajuste operativo,Operador_01,
09/08/2027,7:45:17 p.m.,09/08/2027,7:51:55 p.m.,70065,INTERLOCK_C,,Operador_03,Observacion_demo_065
14/08/2027,9:28:03 a.m.,14/08/2027,9:34:36 a.m.,70066,Process -OFF -Button,Reinicio manual,Operador_02,
16/08/2027,12:55:51 p.m.,16/08/2027,1:04:42 p.m.,70067,INTERLOCK_A,,Operador_03,
07/08/2027,3:00:35 p.m.,07/08/2027,3:03:20 p.m.,70068,INTERLOCK_C,,Operador_04,Observacion_demo_068
03/08/2027,8:05:38 a.m.,03/08/2027,8:08:01 a.m.,70069,Process -OFF -Button,Ajuste operativo,Operador_05,
22/08/2027,11:46:09 p.m.,22/08/2027,11:56:10 p.m.,70070,INTERLOCK_B,,Operador_01,
29/08/2027,9:25:48 a.m.,29/08/2027,9:28:16 a.m.,70071,INTERLOCK_E,,Operador_05,
15/08/2027,4:36:54 a.m.,15/08/2027,4:44:15 a.m.,70072,INTERLOCK_B,,Operador_02,
08/08/2027,5:38:00 p.m.,08/08/2027,5:38:29 p.m.,70073,INTERLOCK_B,,Operador_03,
12/08/2027,5:03:10 p.m.,12/08/2027,5:08:48 p.m.,70074,Process -OFF -Button,Ajuste operativo,Operador_02,
16/08/2027,2:51:37 p.m.,16/08/2027,2:54:57 p.m.,70075,INTERLOCK_A,,Operador_01,
26/08/2027,8:21:52 a.m.,26/08/2027,8:28:35 a.m.,70076,INTERLOCK_A,,Operador_01,
17/08/2027,3:53:59 a.m.,17/08/2027,3:57:56 a.m.,70077,INTERLOCK_B,,Operador_05,
03/08/2027,8:41:44 a.m.,03/08/2027,8:42:09 a.m.,70078,Process -OFF -Button,Material desalineado,Operador_05,
25/08/2027,4:07:37 a.m.,25/08/2027,4:17:28 a.m.,70079,INTERLOCK_A,,Operador_05,
27/08/2027,10:27:10 p.m.,27/08/2027,10:32:55 p.m.,70080,Process -OFF -Button,Ajuste operativo,Operador_03,
07/08/2027,7:13:40 a.m.,07/08/2027,7:21:43 a.m.,70081,Process -OFF -Button,Verificación de seguridad,Operador_01,
04/08/2027,10:08:44 a.m.,04/08/2027,10:15:00 a.m.,70082,Process -OFF -Button,Ajuste operativo,Operador_01,
10/08/2027,8:15:05 a.m.,10/08/2027,8:19:33 a.m.,70083,Process -OFF -Button,Material desalineado,Operador_02,
29/08/2027,2:39:05 p.m.,29/08/2027,2:44:12 p.m.,70084,INTERLOCK_D,,Operador_02,
22/08/2027,2:23:45 a.m.,22/08/2027,2:32:38 a.m.,70085,Process -OFF -Button,Ajuste operativo,Operador_03,
04/08/2027,4:46:48 a.m.,04/08/2027,4:56:48 a.m.,70086,INTERLOCK_C,,Operador_04,
17/08/2027,3:26:15 a.m.,17/08/2027,3:37:52 a.m.,70087,Process -OFF -Button,Inspección programada,Operador_03,
15/08/2027,10:46:02 p.m.,15/08/2027,10:47:25 p.m.,70088,INTERLOCK_C,,Operador_03,
25/08/2027,11:29:13 p.m.,25/08/2027,11:33:18 p.m.,70089,INTERLOCK_A,,Operador_03,
30/08/2027,9:08:15 a.m.,30/08/2027,9:17:43 a.m.,70090,INTERLOCK_B,,Operador_02,Observacion_demo_090
21/08/2027,7:42:21 a.m.,21/08/2027,7:45:12 a.m.,70091,Process -OFF -Button,Ajuste operativo,Operador_01,
19/08/2027,1:51:27 p.m.,19/08/2027,1:55:54 p.m.,70092,INTERLOCK_A,,Operador_05,
20/08/2027,9:05:49 a.m.,20/08/2027,9:16:39 a.m.,70093,INTERLOCK_D,,Operador_04,
11/08/2027,6:30:08 a.m.,11/08/2027,6:35:37 a.m.,70094,INTERLOCK_B,,Operador_02,
21/08/2027,8:24:36 a.m.,21/08/2027,8:31:15 a.m.,70095,INTERLOCK_A,,Operador_01,
12/08/2027,12:46:17 p.m.,12/08/2027,12:47:45 p.m.,70096,Process -OFF -Button,Material desalineado,Operador_04,
27/08/2027,5:08:56 a.m.,27/08/2027,5:18:07 a.m.,70097,INTERLOCK_C,,Operador_03,
17/08/2027,7:50:34 p.m.,17/08/2027,8:01:54 p.m.,70098,INTERLOCK_B,,Operador_05,
31/08/2027,1:15:42 a.m.,31/08/2027,1:23:30 a.m.,70099,INTERLOCK_A,,Operador_05,
29/08/2027,1:53:43 p.m.,29/08/2027,2:05:08 p.m.,70100,Process -OFF -Button,Ajuste operativo,Operador_05,
18/08/2027,1:59:53 a.m.,18/08/2027,2:00:35 a.m.,70101,INTERLOCK_C,,Operador_02,
16/08/2027,4:52:26 a.m.,16/08/2027,4:58:05 a.m.,70102,Process -OFF -Button,Material desalineado,Operador_04,
28/08/2027,9:05:25 p.m.,28/08/2027,9:16:57 p.m.,70103,INTERLOCK_B,,Operador_02,
21/08/2027,3:51:14 a.m.,21/08/2027,3:56:32 a.m.,70104,INTERLOCK_A,,Operador_04,
08/08/2027,11:10:11 p.m.,08/08/2027,11:11:27 p.m.,70105,INTERLOCK_D,,Operador_05,
29/08/2027,2:15:45 p.m.,29/08/2027,2:26:59 p.m.,70106,INTERLOCK_A,,Operador_05,Observacion_demo_106
13/08/2027,7:27:47 p.m.,13/08/2027,7:33:53 p.m.,70107,INTERLOCK_B,,Operador_03,
23/08/2027,2:34:23 p.m.,23/08/2027,2:45:02 p.m.,70108,INTERLOCK_A,,Operador_03,
04/08/2027,2:50:29 a.m.,04/08/2027,3:00:48 a.m.,70109,INTERLOCK_C,,Operador_04,
22/08/2027,7:17:28 a.m.,22/08/2027,7:26:06 a.m.,70110,Process -OFF -Button,Verificación de seguridad,Operador_03,
15/08/2027,10:24:24 a.m.,15/08/2027,10:32:34 a.m.,70111,Process -OFF -Button,Reinicio manual,Operador_04,
25/08/2027,2:50:56 p.m.,25/08/2027,2:52:53 p.m.,70112,INTERLOCK_A,,Operador_01,
29/08/2027,5:08:37 a.m.,29/08/2027,5:14:03 a.m.,70113,Process -OFF -Button,Ajuste operativo,Operador_01,
04/08/2027,12:17:21 p.m.,04/08/2027,12:28:25 p.m.,70114,INTERLOCK_A,,Operador_03,
31/08/2027,5:53:02 a.m.,31/08/2027,5:54:21 a.m.,70115,INTERLOCK_B,,Operador_05,
20/08/2027,8:38:08 a.m.,20/08/2027,8:43:22 a.m.,70116,INTERLOCK_A,,Operador_02,Observacion_demo_116
17/08/2027,8:51:51 a.m.,17/08/2027,9:03:26 a.m.,70117,INTERLOCK_E,,Operador_02,Observacion_demo_117
22/08/2027,1:04:58 p.m.,22/08/2027,1:08:46 p.m.,70118,INTERLOCK_D,,Operador_02,Observacion_demo_118
30/08/2027,6:16:57 p.m.,30/08/2027,6:26:47 p.m.,70119,Process -OFF -Button,Inspección programada,Operador_01,
30/08/2027,3:44:17 a.m.,30/08/2027,3:52:49 a.m.,70120,INTERLOCK_D,,Operador_03,
22/08/2027,9:32:00 a.m.,22/08/2027,9:41:20 a.m.,70121,Process -OFF -Button,Material desalineado,Operador_02,
10/08/2027,6:59:26 p.m.,10/08/2027,7:01:58 p.m.,70122,INTERLOCK_A,,Operador_01,
03/08/2027,4:10:28 p.m.,03/08/2027,4:20:38 p.m.,70123,INTERLOCK_B,,Operador_01,
31/08/2027,2:51:31 p.m.,31/08/2027,3:01:24 p.m.,70124,INTERLOCK_E,,Operador_05,Observacion_demo_124
25/08/2027,7:12:17 a.m.,25/08/2027,7:18:50 a.m.,70125,INTERLOCK_B,,Operador_02,
31/08/2027,10:30:38 a.m.,31/08/2027,10:38:58 a.m.,70126,INTERLOCK_A,,Operador_05,
12/08/2027,6:43:05 a.m.,12/08/2027,6:47:34 a.m.,70127,INTERLOCK_A,,Operador_04,Observacion_demo_127
03/08/2027,1:38:12 p.m.,03/08/2027,1:47:23 p.m.,70128,INTERLOCK_A,,Operador_05,
19/08/2027,2:04:56 a.m.,19/08/2027,2:05:44 a.m.,70129,Process -OFF -Button,Verificación de seguridad,Operador_02,
26/08/2027,5:14:56 a.m.,26/08/2027,5:19:39 a.m.,70130,INTERLOCK_D,,Operador_03,
02/08/2027,5:40:21 a.m.,02/08/2027,5:47:06 a.m.,70131,Process -OFF -Button,Ajuste operativo,Operador_01,Observacion_demo_131
07/08/2027,3:33:58 a.m.,07/08/2027,3:40:46 a.m.,70132,INTERLOCK_D,,Operador_04,
20/08/2027,7:06:47 p.m.,20/08/2027,7:09:28 p.m.,70133,INTERLOCK_C,,Operador_04,
27/08/2027,2:59:48 p.m.,27/08/2027,3:10:53 p.m.,70134,INTERLOCK_A,,Operador_03,Observacion_demo_134
08/08/2027,9:46:18 a.m.,08/08/2027,9:51:38 a.m.,70135,INTERLOCK_E,,Operador_02,
24/08/2027,2:58:03 a.m.,24/08/2027,3:04:32 a.m.,70136,Process -OFF -Button,Reinicio manual,Operador_02,
06/08/2027,4:08:54 p.m.,06/08/2027,4:11:08 p.m.,70137,Process -OFF -Button,Material desalineado,Operador_05,
06/08/2027,5:09:46 p.m.,06/08/2027,5:20:43 p.m.,70138,Process -OFF -Button,Verificación de seguridad,Operador_01,
17/08/2027,12:28:09 p.m.,17/08/2027,12:28:55 p.m.,70139,INTERLOCK_A,,Operador_03,
04/08/2027,11:40:14 a.m.,04/08/2027,11:46:25 a.m.,70140,INTERLOCK_A,,Operador_03,Observacion_demo_140
23/08/2027,2:13:51 p.m.,23/08/2027,2:16:58 p.m.,70141,INTERLOCK_B,,Operador_02,Observacion_demo_141
19/08/2027,11:33:11 p.m.,19/08/2027,11:33:47 p.m.,70142,INTERLOCK_D,,Operador_03,
23/08/2027,1:26:52 a.m.,23/08/2027,1:36:17 a.m.,70143,INTERLOCK_B,,Operador_05,
29/08/2027,10:16:33 a.m.,29/08/2027,10:22:05 a.m.,70144,INTERLOCK_D,,Operador_04,
10/08/2027,8:20:39 a.m.,10/08/2027,8:25:57 a.m.,70145,INTERLOCK_B,,Operador_04,
22/08/2027,8:54:06 a.m.,22/08/2027,9:01:15 a.m.,70146,INTERLOCK_C,,Operador_03,
02/08/2027,5:40:39 p.m.,02/08/2027,5:46:34 p.m.,70147,Process -OFF -Button,Material desalineado,Operador_02,
05/08/2027,9:17:02 a.m.,05/08/2027,9:19:41 a.m.,70148,INTERLOCK_B,,Operador_02,
28/08/2027,5:34:43 p.m.,28/08/2027,5:38:11 p.m.,70149,Process -OFF -Button,Ajuste operativo,Operador_05,
09/08/2027,4:44:38 a.m.,09/08/2027,4:49:29 a.m.,70150,INTERLOCK_A,,Operador_02,
23/08/2027,6:15:11 p.m.,23/08/2027,6:17:30 p.m.,70151,Process -OFF -Button,Reinicio manual,Operador_04,
15/08/2027,7:15:10 p.m.,15/08/2027,7:17:14 p.m.,70152,Process -OFF -Button,Inspección programada,Operador_02,Observacion_demo_152
22/08/2027,1:12:20 p.m.,22/08/2027,1:22:04 p.m.,70153,Process -OFF -Button,Reinicio manual,Operador_02,
25/08/2027,1:57:28 p.m.,25/08/2027,2:06:17 p.m.,70154,INTERLOCK_C,,Operador_03,
26/08/2027,6:38:39 a.m.,26/08/2027,6:41:46 a.m.,70155,INTERLOCK_A,,Operador_02,
15/08/2027,8:14:25 a.m.,15/08/2027,8:19:14 a.m.,70156,Process -OFF -Button,Verificación de seguridad,Operador_04,
06/08/2027,6:32:50 a.m.,06/08/2027,6:37:21 a.m.,70157,INTERLOCK_A,,Operador_01,
27/08/2027,8:51:45 a.m.,27/08/2027,9:02:18 a.m.,70158,INTERLOCK_C,,Operador_02,
12/08/2027,11:57:01 a.m.,12/08/2027,12:04:30 p.m.,70159,INTERLOCK_D,,Operador_04,
15/08/2027,2:43:27 p.m.,15/08/2027,2:48:49 p.m.,70160,INTERLOCK_D,,Operador_05,
12/08/2027,11:03:44 a.m.,12/08/2027,11:12:42 a.m.,70161,Process -OFF -Button,Ajuste operativo,Operador_03,
16/08/2027,11:48:23 a.m.,16/08/2027,11:53:22 a.m.,70162,INTERLOCK_B,,Operador_04,
26/08/2027,11:44:53 p.m.,26/08/2027,11:46:31 p.m.,70163,Process -OFF -Button,Ajuste operativo,Operador_04,
24/08/2027,11:52:32 p.m.,25/08/2027,12:00:27 a.m.,70164,INTERLOCK_D,,Operador_05,
04/08/2027,9:38:23 a.m.,04/08/2027,9:47:13 a.m.,70165,INTERLOCK_B,,Operador_02,
14/08/2027,8:16:16 a.m.,14/08/2027,8:27:52 a.m.,70166,INTERLOCK_A,,Operador_03,
07/08/2027,4:41:04 a.m.,07/08/2027,4:49:53 a.m.,70167,INTERLOCK_E,,Operador_01,
02/08/2027,8:01:08 p.m.,02/08/2027,8:01:35 p.m.,70168,Process -OFF -Button,Reinicio manual,Operador_02,
26/08/2027,11:29:56 p.m.,26/08/2027,11:33:19 p.m.,70169,INTERLOCK_D,,Operador_02,Observacion_demo_169
22/08/2027,11:58:52 p.m.,23/08/2027,12:08:26 a.m.,70170,Process -OFF -Button,Verificación de seguridad,Operador_02,
18/08/2027,6:21:01 a.m.,18/08/2027,6:21:29 a.m.,70171,INTERLOCK_A,,Operador_03,
25/08/2027,6:37:08 p.m.,25/08/2027,6:44:23 p.m.,70172,INTERLOCK_A,,Operador_04,
27/08/2027,5:06:49 a.m.,27/08/2027,5:14:50 a.m.,70173,INTERLOCK_B,,Operador_01,
28/08/2027,12:55:38 a.m.,28/08/2027,12:58:23 a.m.,70174,INTERLOCK_A,,Operador_02,
24/08/2027,2:08:13 a.m.,24/08/2027,2:10:12 a.m.,70175,INTERLOCK_C,,Operador_02,
08/08/2027,4:31:55 a.m.,08/08/2027,4:34:16 a.m.,70176,INTERLOCK_A,,Operador_01,
23/08/2027,8:41:00 p.m.,23/08/2027,8:47:20 p.m.,70177,INTERLOCK_B,,Operador_04,
06/08/2027,9:53:03 a.m.,06/08/2027,10:00:48 a.m.,70178,INTERLOCK_D,,Operador_03,
31/08/2027,5:30:56 p.m.,31/08/2027,5:32:19 p.m.,70179,Process -OFF -Button,Reinicio manual,Operador_01,
07/08/2027,4:10:12 a.m.,07/08/2027,4:12:42 a.m.,70180,INTERLOCK_A,,Operador_01,
25/08/2027,5:04:55 a.m.,25/08/2027,5:15:32 a.m.,70181,INTERLOCK_C,,Operador_04,
09/08/2027,2:50:43 a.m.,09/08/2027,2:53:59 a.m.,70182,Process -OFF -Button,Ajuste operativo,Operador_05,
29/08/2027,5:23:33 a.m.,29/08/2027,5:28:29 a.m.,70183,INTERLOCK_A,,Operador_05,Observacion_demo_183
03/08/2027,3:53:11 a.m.,03/08/2027,4:02:26 a.m.,70184,INTERLOCK_C,,Operador_04,
13/08/2027,10:01:02 p.m.,13/08/2027,10:08:21 p.m.,70185,INTERLOCK_D,,Operador_05,
17/08/2027,1:12:46 a.m.,17/08/2027,1:22:50 a.m.,70186,INTERLOCK_A,,Operador_05,
17/08/2027,6:14:21 p.m.,17/08/2027,6:21:32 p.m.,70187,INTERLOCK_C,,Operador_01,
04/08/2027,5:28:51 p.m.,04/08/2027,5:40:14 p.m.,70188,INTERLOCK_D,,Operador_03,
31/08/2027,5:52:28 p.m.,31/08/2027,5:53:24 p.m.,70189,INTERLOCK_C,,Operador_05,
14/08/2027,2:49:41 a.m.,14/08/2027,3:01:12 a.m.,70190,INTERLOCK_A,,Operador_02,
16/08/2027,1:59:00 p.m.,16/08/2027,2:09:03 p.m.,70191,INTERLOCK_C,,Operador_02,
25/08/2027,5:55:17 a.m.,25/08/2027,6:04:24 a.m.,70192,INTERLOCK_B,,Operador_04,
25/08/2027,4:31:29 a.m.,25/08/2027,4:35:41 a.m.,70193,INTERLOCK_E,,Operador_04,
26/08/2027,10:01:43 p.m.,26/08/2027,10:03:53 p.m.,70194,INTERLOCK_A,,Operador_05,
21/08/2027,11:22:27 a.m.,21/08/2027,11:23:39 a.m.,70195,Process -OFF -Button,Verificación de seguridad,Operador_04,
28/08/2027,2:20:08 a.m.,28/08/2027,2:23:44 a.m.,70196,INTERLOCK_C,,Operador_04,
31/08/2027,11:31:16 a.m.,31/08/2027,11:41:37 a.m.,70197,INTERLOCK_A,,Operador_02,
11/08/2027,5:38:58 a.m.,11/08/2027,5:46:12 a.m.,70198,INTERLOCK_B,,Operador_05,
01/08/2027,10:55:51 a.m.,01/08/2027,10:58:44 a.m.,70199,INTERLOCK_C,,Operador_04,
16/08/2027,11:23:04 a.m.,16/08/2027,11:24:06 a.m.,70200,INTERLOCK_A,,Operador_04,
01/08/2027,8:11:22 p.m.,01/08/2027,8:16:14 p.m.,70201,INTERLOCK_E,,Operador_02,Observacion_demo_201
24/08/2027,12:55:56 p.m.,24/08/2027,12:59:14 p.m.,70202,INTERLOCK_D,,Operador_04,
28/08/2027,7:09:02 a.m.,28/08/2027,7:11:52 a.m.,70203,INTERLOCK_B,,Operador_04,
08/08/2027,7:05:33 p.m.,08/08/2027,7:08:33 p.m.,70204,Process -OFF -Button,Inspección programada,Operador_05,
04/08/2027,3:15:12 p.m.,04/08/2027,3:19:47 p.m.,70205,INTERLOCK_B,,Operador_04,
04/08/2027,10:47:19 a.m.,04/08/2027,10:48:25 a.m.,70206,Process -OFF -Button,Reinicio manual,Operador_05,
26/08/2027,1:23:43 a.m.,26/08/2027,1:28:03 a.m.,70207,INTERLOCK_B,,Operador_02,Observacion_demo_207
31/08/2027,4:04:14 a.m.,31/08/2027,4:14:48 a.m.,70208,INTERLOCK_D,,Operador_05,
06/08/2027,6:58:59 a.m.,06/08/2027,7:01:46 a.m.,70209,Process -OFF -Button,Ajuste operativo,Operador_01,Observacion_demo_209
02/08/2027,11:45:20 p.m.,02/08/2027,11:46:44 p.m.,70210,Process -OFF -Button,Ajuste operativo,Operador_04,
18/08/2027,2:02:26 a.m.,18/08/2027,2:11:33 a.m.,70211,INTERLOCK_B,,Operador_02,
20/08/2027,10:33:35 a.m.,20/08/2027,10:39:52 a.m.,70212,INTERLOCK_C,,Operador_04,
11/08/2027,4:01:42 a.m.,11/08/2027,4:07:22 a.m.,70213,Process -OFF -Button,Material desalineado,Operador_04,
14/08/2027,3:41:05 a.m.,14/08/2027,3:49:59 a.m.,70214,INTERLOCK_D,,Operador_02,
30/08/2027,4:27:54 p.m.,30/08/2027,4:35:34 p.m.,70215,Process -OFF -Button,Verificación de seguridad,Operador_02,
10/08/2027,6:03:50 p.m.,10/08/2027,6:06:41 p.m.,70216,INTERLOCK_B,,Operador_01,
10/08/2027,11:38:13 p.m.,10/08/2027,11:45:01 p.m.,70217,INTERLOCK_A,,Operador_02,
20/08/2027,10:41:11 a.m.,20/08/2027,10:48:27 a.m.,70218,INTERLOCK_B,,Operador_02,Observacion_demo_218
22/08/2027,2:49:03 p.m.,22/08/2027,2:57:03 p.m.,70219,INTERLOCK_B,,Operador_04,Observacion_demo_219
14/08/2027,1:14:05 a.m.,14/08/2027,1:19:06 a.m.,70220,Process -OFF -Button,Verificación de seguridad,Operador_02,
